,score
loan_id=2BFT101A56,1.0
loan_id=2MVOXUU5CU,1.0
loan_id=3VIIB3GYMW,1.0
loan_id=2PDNSZHIUK,1.0
loan_id=3U7CXPLLPV,1.0
loan_id=3TPSX3XUWV,1.0
loan_id=3SYUFSVKC2,1.0
loan_id=3S99DH4J41,1.0
loan_id=3QVEFUV96L,1.0
loan_id=3O259CFF67,1.0
loan_id=3MW4AZXRCT,1.0
loan_id=3MIAE5S4T5,1.0
loan_id=3LDD3O3BJT,1.0
loan_id=3JTIPJDVUA,1.0
loan_id=3J9KT56WBC,1.0
loan_id=3INYD7403L,1.0
loan_id=3HCX70K9L8,1.0
loan_id=3ATNVPWU25,1.0
loan_id=37J03OOOJH,1.0
loan_id=33R03IVT37,1.0
loan_id=30DA04UAI0,1.0
loan_id=2YKT56U72N,1.0
loan_id=2SHM5PQ94D,1.0
loan_id=2QDC2XY8O0,1.0
loan_id=2PQN52CWNE,1.0
loan_id=81FD2HWHYH,1.0
loan_id=83YJCRQ7EC,1.0
loan_id=HZNHH4TTRD,1.0
loan_id=DU1IYYWUE2,1.0
loan_id=EWIKW0Y6QX,1.0
loan_id=EV4PDEZ0RD,1.0
loan_id=EUKQIMYU09,1.0
loan_id=EUKNVMBTES,1.0
loan_id=ERLRTI4LBR,1.0
loan_id=ENT8UBY7FH,1.0
loan_id=EGSMGVWR63,1.0
loan_id=DZ7YRK2HZT,1.0
loan_id=DUYKHKI08W,1.0
loan_id=DULWS493YV,1.0
loan_id=DT03LQFO7C,1.0
loan_id=868VAUHOMJ,1.0
loan_id=DSLB02M9TY,1.0
loan_id=DSJELBAHPT,1.0
loan_id=DPAM3SI8A6,1.0
loan_id=DJE25BD99L,1.0
loan_id=DIUEV22U0W,1.0
loan_id=DHWGVBQQH2,1.0
loan_id=DEBG5AQ7GM,1.0
loan_id=D2UJT30DQB,1.0
loan_id=D06J7DO9PK,1.0
loan_id=CVW52APSV7,1.0
loan_id=F61RSNTX4B,1.0
loan_id=F807XCA9WI,1.0
loan_id=F866S9CCIQ,1.0
loan_id=FAEU9JSAOT,1.0
loan_id=HYAOU5FCC5,1.0
loan_id=HLWS0BE1VA,1.0
loan_id=HJUIXDHFUP,1.0
loan_id=H9BGF5WRY1,1.0
loan_id=H350F3TCWX,1.0
loan_id=H1U9U53FT5,1.0
loan_id=GZOGQ0TQEC,1.0
loan_id=GRFQASR51D,1.0
loan_id=GNNLEMF21N,1.0
loan_id=GLBWQ65SVN,1.0
loan_id=GI710MXSWV,1.0
loan_id=GBKFK1J6KD,1.0
loan_id=G0YBGNP6F0,1.0
loan_id=FXZNEBIRX9,1.0
loan_id=FSX0BVTPVX,1.0
loan_id=FQIPYPS14V,1.0
loan_id=FPVLQGHZ6Y,1.0
loan_id=FKXHM74RF7,1.0
loan_id=FIYWJ8O41L,1.0
loan_id=FH6GOMV68L,1.0
loan_id=FEKJJ96IMK,1.0
loan_id=CVRDN1Y3FI,1.0
loan_id=CTYEWJH1XQ,1.0
loan_id=CSSJ1KWHC8,1.0
loan_id=A3XANLJD49,1.0
loan_id=A2A2A07MUP,1.0
loan_id=9NMK7ELR8M,1.0
loan_id=9LNDMTGOWA,1.0
loan_id=9G50GJMO1B,1.0
loan_id=9ACTTUEI7B,1.0
loan_id=99EC2IHKF2,1.0
loan_id=9904A59SFI,1.0
loan_id=93N9DEXA0E,1.0
loan_id=90CM9F3TUM,1.0
